"VI name";;"string type";;"Key";;"English";;"Russian"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PACE_time_end";;"End:";;"(טי)End:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PACE_low_limit";;"Low:";;"(טי)Low:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PACE_high_limit";;"High:";;"(טי)High:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CBATCH_batch_code";;"Batch:";;"(טי)Batch:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CBATCH_scan_barcode.BoolText";;"SCAN BARCODE";;"(טי)SCAN BARCODE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CMPNT_scan_barcode.BoolText";;"SCAN BARCODE";;"(טי)SCAN BARCODE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CMPNT_gear_serial";;"Gear Serial:";;"(טי)Gear Serial:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REF_EDIT_type_filter";;"Type:";;"(טי)Type:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REF_EDIT_station";;"Station:";;"(טי)Station:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REF_EDIT_refresh.BoolText";;"REFRESH";;"(טי)REFRESH"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REF_EDIT_delete.BoolText";;"DELETE";;"(טי)DELETE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REF_EDIT_insert_update.BoolText";;"INSERT / UPDATE";;"(טי)INSERT / UPDATE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REF_EDIT_clear_status.BoolText";;"CLEAR STATUS";;"(טי)CLEAR STATUS"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REF_EDIT_discard.BoolText";;"DISCARD CHANGES";;"(טי)DISCARD CHANGES"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ARCH_EDIT_type_filter";;"Type:";;"(טי)Type:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ARCH_EDIT_station";;"Station:";;"(טי)Station:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ARCH_EDIT_refresh.BoolText";;"REFRESH";;"(טי)REFRESH"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ARCH_EDIT_delete.BoolText";;"DELETE";;"(טי)DELETE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ARCH_EDIT_insert_update.BoolText";;"INSERT / UPDATE";;"(טי)INSERT / UPDATE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ARCH_EDIT_clear_status.BoolText";;"CLEAR STATUS";;"(טי)CLEAR STATUS"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ARCH_EDIT_discard.BoolText";;"DISCARD CHANGES";;"(טי)DISCARD CHANGES"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"USER_EDIT_refresh.BoolText";;"REFRESH";;"(טי)REFRESH"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"USER_EDIT_insert_update.BoolText";;"INSERT / UPDATE";;"(טי)INSERT / UPDATE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"USER_EDIT_delete.BoolText";;"DELETE";;"(טי)DELETE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"USER_EDIT_clear_status.BoolText";;"CLEAR STATUS";;"(טי)CLEAR STATUS"
