"VI name";;"string type";;"Key";;"English";;"Russian"
"error_popup.vi";;"Block Diagram";;"F1 - Continue";;"F1 - Continue";;"F1 - Продолжить!"
"error_popup.vi";;"Block Diagram";;"ERROR";;"ERROR";;"ОШИБКА"
"FGV_OEE_reference_selector.vi";;"Block Diagram";;"NO VALID REFERENCE FOUND";;"NO VALID REFERENCE FOUND";;"КОРРЕКТНОГО ТИПА НЕ НАЙДЕНО"
"OEE_config_keys_to_cluster.vi";;"Block Diagram";;"Config parameter: "%s" in section: "%s" not found.";;"Config parameter: "%s" in section: "%s" not found.";;"Конфигурационный параметр: "%s" в секции: "%s" не найден."
"OEE_config_keys_to_cluster.vi";;"Block Diagram";;"Unexpected value for boolean while reading config file. Following value is incorrect:\nParameter: %s\nValue: %s";;"Unexpected value for boolean while reading config file. Following value is incorrect:\nParameter: %s\nValue: %s";;"Неожиданное значение логического значения при чтении файла конфигурации. Следующее значение неверно:\nПараметр: %s\nЗначение: %s"
"OEE_MAIN_set_default_reference.vi";;"Block Diagram";;"REFERENCE NOT FOUND";;"REFERENCE NOT FOUND";;"ТИП НЕ НАЙДЕН"
"OEE_MAIN_set_default_reference.vi";;"Block Diagram";;"Default reference: %s is not a valid reference.\nCheck reference definiton in database, change default reference in config file, or select another valid reference manually.";;"Default reference: %s is not a valid reference.\nCheck reference definiton in database, change default reference in config file, or select another valid reference manually.";;"Тип по умолчанию: %s неккоректен.\nПроверьте определение типа в базе данных, смените тип по-умолчанию в конфигурационном файле, или выбирете другой тип вручную."
"OEE_SCREEN_1.vi";;"Block Diagram";;"SCREEN 1 MAIN";;"SCREEN 1 MAIN";;"ЭКРАН 1 MAIN"
"OEE_SCREEN_1_edit_running_summary.vi";;"Block Diagram";;"Summary Too Long";;"Summary Too Long";;"Summary Too Long"
"OEE_SCREEN_1_edit_running_summary.vi";;"Block Diagram";;"Entered summary too long, max length: %d characters";;"Entered summary too long, max length: %d characters";;"(ий)Entered summary too long, max length: %d characters"
"OEE_SCREEN_2.vi";;"Block Diagram";;"SCREEN 2 TIMER";;"SCREEN 2 TIMER";;"ЭКРАН 2 TIMER"
